20010623103832	http://www.rhubarbinfo.com:80/bookstore/associate/0762400803_m.gif	image/gif	path-prefix:/bookstore/associate/
20000929140901	http://www.rhubarbinfo.com:80/bookstore/associate/0789401843_m.gif	image/gif	path-prefix:/bookstore/associate/
20000929141059	http://www.rhubarbinfo.com:80/bookstore/associate/0789404354_m.gif	image/gif	path-prefix:/bookstore/associate/
20010811111344	http://rhubarbinfo.com:80/bookstore/associate/0789410672_m.gif	image/gif	path-prefix:/bookstore/associate/
20010706191132	http://www.rhubarbinfo.com:80/bookstore/associate/0809229706_m.gif	image/gif	path-prefix:/bookstore/associate/
20000929140909	http://www.rhubarbinfo.com:80/bookstore/associate/0811813371_m.gif	image/gif	path-prefix:/bookstore/associate/
20000929140834	http://www.rhubarbinfo.com:80/bookstore/associate/0812083628_m.gif	image/gif	path-prefix:/bookstore/associate/
20010814174523	http://rhubarbinfo.com:80/bookstore/associate/0843138246_01_M.gif	image/gif	path-prefix:/bookstore/associate/
20001006174005	http://www.rhubarbinfo.com:80/bookstore/associate/0848715403_m.gif	im	path-prefix:/bookstore/associate/
20010706192537	http://www.rhubarbinfo.com:80/bookstore/associate/0848722280_m.gif	image/gif	path-prefix:/bookstore/associate/
20000929140812	http://www.rhubarbinfo.com:80/bookstore/associate/0875965997_m.gif	image/gif	path-prefix:/bookstore/associate/
20010811111407	http://rhubarbinfo.com:80/bookstore/associate/0875967531_m.gif	image/gif	path-prefix:/bookstore/associate/
20001003062234	http://www.rhubarbinfo.com:80/bookstore/associate/0875967663_m.gif	im	path-prefix:/bookstore/associate/
20001004013349	http://www.rhubarbinfo.com:80/bookstore/associate/087596799x_m.gif	im	path-prefix:/bookstore/associate/
20010702083842	http://www.rhubarbinfo.com:80/bookstore/associate/087596964x_m.gif	image/gif	path-prefix:/bookstore/associate/
20001003210520	http://www.rhubarbinfo.com:80/bookstore/associate/0878579915_m.gif	im	path-prefix:/bookstore/associate/
20000929140925	http://www.rhubarbinfo.com:80/bookstore/associate/0879610123_m.gif	image/gif	path-prefix:/bookstore/associate/
20010706194541	http://www.rhubarbinfo.com:80/bookstore/associate/0880072148_m.gif	image/gif	path-prefix:/bookstore/associate/
20010806171230	http://rhubarbinfo.com:80/bookstore/associate/0881922587_m.gif	image/gif	path-prefix:/bookstore/associate/
20000929132616	http://www.rhubarbinfo.com:80/bookstore/associate/0881922943_m.gif	image/gif	path-prefix:/bookstore/associate/
20010702085057	http://www.rhubarbinfo.com:80/bookstore/associate/0881923125_m.gif	image/gif	path-prefix:/bookstore/associate/
20010702090016	http://www.rhubarbinfo.com:80/bookstore/associate/0881924148_m.gif	image/gif	path-prefix:/bookstore/associate/
20010806220148	http://www.rhubarbinfo.com:80/bookstore/associate/088266655X.01.GIF	image/gif	path-prefix:/bookstore/associate/
20000929141045	http://www.rhubarbinfo.com:80/bookstore/associate/0894803123_m.gif	image/gif	path-prefix:/bookstore/associate/
20000929141029	http://www.rhubarbinfo.com:80/bookstore/associate/0895298244_m.gif	image/gif	path-prefix:/bookstore/associate/
20010811112022	http://rhubarbinfo.com:80/bookstore/associate/089721255x_m.gif	image/gif	path-prefix:/bookstore/associate/
20000929140830	http://www.rhubarbinfo.com:80/bookstore/associate/0930031571_m.gif	image/gif	path-prefix:/bookstore/associate/
20010702090232	http://www.rhubarbinfo.com:80/bookstore/associate/0961907223_m.gif	image/gif	path-prefix:/bookstore/associate/
20000929141033	http://www.rhubarbinfo.com:80/bookstore/associate/155591389x_m.gif	image/gif	path-prefix:/bookstore/associate/
20010811112641	http://rhubarbinfo.com:80/bookstore/associate/1556523025_m.gif	image/gif	path-prefix:/bookstore/associate/
20010608010332	http://rhubarbinfo.com:80/bookstore/associate/1556706308_m.gif	image/gif	path-prefix:/bookstore/associate/
20000929141055	http://www.rhubarbinfo.com:80/bookstore/associate/1558671145_m.gif	image/gif	path-prefix:/bookstore/associate/
