cluster_collection	cluster_title	canonical	canonical_era	canonical_archivedAt	canonical_local_imgs	canonical_ext_imgs	canonical_prose	decision_mode	original_rule_pick	rule_changed	demoted	demoted_details	risky_flags	reason
recipes	culinary uses of rhubarb	culinary-uses-of-rhubarb-2.md	drupal	2020-03-02T05:52:24Z	2	1	8639	prose-richest	culinary-uses-of-rhubarb.md	yes	culinary-uses-of-rhubarb.md	culinary-uses-of-rhubarb.md[era=blogger,archivedAt=2024-09-20T21:06:55Z,local=1,ext=0,prose=6818]	rule-change: refined rule picks culinary-uses-of-rhubarb-2.md; original era-priority would pick culinary-uses-of-rhubarb.md	mode=prose-richest; era=drupal; archivedAt=2020-03-02T05:52:24Z; prose=8639 (100% of max 8639)
recipes	frozen rhubarb recipes	frozen-rhubarb-recipes.md	blogger	2024-10-14T02:50:42Z	1	0	5859	era-candidate	frozen-rhubarb-recipes.md	no	frozen-rhubarb-recipes-2.md	frozen-rhubarb-recipes-2.md[era=static,archivedAt=2008-10-17T22:51:42Z,local=0,ext=0,prose=6331]		mode=era-candidate; era=blogger; prose=5859 (93% of max 6331)
recipes	growing rhubarb	growing-rhubarb-4.md	static	2008-10-14T07:56:34Z	1	0	15332	prose-richest	growing-rhubarb.md	yes	growing-rhubarb.md;growing-rhubarb-2.md;growing-rhubarb-3.md	growing-rhubarb.md[era=blogger,archivedAt=2024-09-20T20:27:18Z,local=2,ext=0,prose=8507] | growing-rhubarb-2.md[era=drupal,archivedAt=2020-01-28T13:28:07Z,local=2,ext=0,prose=10161] | growing-rhubarb-3.md[era=drupal,archivedAt=2019-12-31T02:32:21Z,local=2,ext=0,prose=10161]	rule-change: refined rule picks growing-rhubarb-4.md; original era-priority would pick growing-rhubarb.md ;; loser growing-rhubarb.md has 2 local imgs vs canonical 1 ;; loser growing-rhubarb-2.md has 2 local imgs vs canonical 1 ;; loser growing-rhubarb-3.md has 2 local imgs vs canonical 1	mode=prose-richest; era=static; prose=15332 (100% of max 15332)
recipes	rhubarb bar recipes	rhubarb-bar-recipes.md	blogger	2024-06-22T00:33:28Z	1	0	9679	era-candidate	rhubarb-bar-recipes.md	no	rhubarb-bar-recipes-2.md	rhubarb-bar-recipes-2.md[era=static,archivedAt=2008-10-14T07:56:18Z,local=0,ext=0,prose=10289]		mode=era-candidate; era=blogger; prose=9679 (94% of max 10289)
recipes	rhubarb bars	rhubarb-bars-4.md	drupal	2020-02-24T19:12:55Z	2	0	9692	era-candidate	rhubarb-bars-4.md	no	rhubarb-bars.md;rhubarb-bars-2.md;rhubarb-bars-3.md	rhubarb-bars.md[era=drupal,archivedAt=2014-10-09T02:47:33Z,local=2,ext=0,prose=9728] | rhubarb-bars-2.md[era=drupal,archivedAt=2010-06-30T13:19:18Z,local=2,ext=0,prose=9728] | rhubarb-bars-3.md[era=static,archivedAt=2013-05-18T21:20:36Z,local=2,ext=0,prose=9741]	close-call: loser rhubarb-bars-3.md prose=9741 local=2 ~= canonical prose=9692 local=2 (different eras)	mode=era-candidate; era=drupal; archivedAt=2020-02-24T19:12:55Z; prose=9692 (99% of max 9741); local_imgs=2, ext_imgs=0
recipes	rhubarb bread recipes	rhubarb-bread-recipes-3.md	static	2001-06-20T10:42:25Z	0	0	6858	prose-richest	rhubarb-bread-recipes.md	yes	rhubarb-bread-recipes.md;rhubarb-bread-recipes-2.md	rhubarb-bread-recipes.md[era=blogger,archivedAt=2024-09-20T19:54:52Z,local=1,ext=0,prose=5368] | rhubarb-bread-recipes-2.md[era=static,archivedAt=2008-10-16T04:31:06Z,local=0,ext=0,prose=5783]	rule-change: refined rule picks rhubarb-bread-recipes-3.md; original era-priority would pick rhubarb-bread-recipes.md ;; loser rhubarb-bread-recipes.md has 1 local imgs vs canonical 0	mode=prose-richest; era=static; prose=6858 (100% of max 6858); local_imgs=0, ext_imgs=0
recipes	rhubarb cake recipes	rhubarb-cake-recipes.md	static	2008-11-06T13:46:20Z	0	0	41131	era-candidate	rhubarb-cake-recipes.md	no	rhubarb-cake-recipes-2.md	rhubarb-cake-recipes-2.md[era=static,archivedAt=2001-07-21T13:45:13Z,local=0,ext=0,prose=42329]		mode=era-candidate; era=static; prose=41131 (97% of max 42329); local_imgs=0, ext_imgs=0
recipes	rhubarb cobbler recipes	rhubarb-cobbler-recipes.md	blogger	2024-10-14T01:57:45Z	1	0	34930	era-candidate	rhubarb-cobbler-recipes.md	no	rhubarb-cobbler-recipes-2.md	rhubarb-cobbler-recipes-2.md[era=static,archivedAt=2008-10-15T04:23:31Z,local=0,ext=0,prose=36538]		mode=era-candidate; era=blogger; prose=34930 (96% of max 36538)
recipes	rhubarb cookie recipes	rhubarb-cookie-recipes.md	blogger	2024-09-20T21:11:02Z	1	0	2240	era-candidate	rhubarb-cookie-recipes.md	no	rhubarb-cookie-recipes-2.md	rhubarb-cookie-recipes-2.md[era=static,archivedAt=2008-10-15T04:23:36Z,local=0,ext=0,prose=2478]		mode=era-candidate; era=blogger; prose=2240 (90% of max 2478)
recipes	rhubarb dessert recipes	rhubarb-dessert-recipes.md	blogger	2024-09-20T19:51:01Z	1	0	8732	era-candidate	rhubarb-dessert-recipes.md	no	rhubarb-dessert-recipes-2.md	rhubarb-dessert-recipes-2.md[era=static,archivedAt=2008-10-15T04:23:41Z,local=0,ext=0,prose=9211]		mode=era-candidate; era=blogger; prose=8732 (95% of max 9211)
